소관부처,법령명,공포일자,시행일자,법령종류
문화체육관광부,관광진흥법 시행규칙,20190710,20190710,문화체육관광부령
해양경찰청,수상에서의 수색ㆍ구조 등에 관한 법률 시행규칙,20190710,20190710,해양수산부령
외교부,재외공무원 복무규정,20190709,20190709,대통령령
행정안전부,지방공기업법 시행령,20190709,20190709,대통령령
산림청,산림자원의 조성 및 관리에 관한 법률 시행령,20190709,20190709,대통령령
특허청,특허법 시행령,20190709,20190709,대통령령
특허청,실용신안법 시행령,20190709,20190709,대통령령
기획재정부,국가균형발전 특별법 시행령,20190709,20190709,대통령령
산업통상자원부,중견기업 성장촉진 및 경쟁력 강화에 관한 특별법 시행령,20190709,20190709,대통령령
산업통상자원부,발전소주변지역 지원에 관한 법률 시행령,20190709,20190709,대통령령
보건복지부,감염병의 예방 및 관리에 관한 법률 시행령,20190709,20190709,대통령령
보건복지부,의료 해외진출 및 외국인환자 유치 지원에 관한 법률 시행령,20190709,20190709,대통령령
해양경찰청,수상에서의 수색ㆍ구조 등에 관한 법률 시행령,20190709,20190709,대통령령
중소벤처기업부,중소기업 기술혁신 촉진법 시행령,20190709,20190709,대통령령
국가보훈처,국립묘지의 설치 및 운영에 관한 법률 시행령,20190709,20190709,대통령령
null,건설근로자의 고용개선 등에 관한 법률 시행령,20190709,20190709,대통령령
환경부,건설폐기물의 재활용촉진에 관한 법률 시행령,20190709,20190709,대통령령
문화체육관광부,게임산업진흥에 관한 법률 시행령,20190709,20190709,대통령령
보건복지부,고령친화산업 진흥법 시행령,20190709,20190709,대통령령
문화체육관광부,공공디자인의 진흥에 관한 법률 시행령,20190709,20190709,대통령령
문화체육관광부,공예문화산업 진흥법 시행령,20190709,20190709,대통령령
null,근로자직업능력 개발법 시행령,20190709,20190709,대통령령
과학기술정보통신부,기술사법 시행령,20190709,20190709,대통령령
농림축산식품부,농림수산식품투자조합 결성 및 운용에 관한 법률 시행령,20190709,20190709,대통령령
농촌진흥청,농촌진흥법 시행령,20190709,20190709,대통령령
문화체육관광부,만화진흥에 관한 법률 시행령,20190709,20190709,대통령령
환경부,물의 재이용 촉진 및 지원에 관한 법률 시행령,20190709,20190709,대통령령
산림청,민간인 통제선 이북지역의 산지관리에 관한 특별법 시행령,20190709,20190709,대통령령
중소벤처기업부,벤처기업육성에 관한 특별조치법 시행령,20190709,20190709,대통령령
산업통상자원부,뿌리산업 진흥과 첨단화에 관한 법률 시행령,20190709,20190709,대통령령
산림청,산림문화ㆍ휴양에 관한 법률 시행령,20190709,20190709,대통령령
산림청,산지관리법 시행령,20190709,20190709,대통령령
환경부,소음ㆍ진동관리법 시행령,20190709,20190709,대통령령
산업통상자원부,소재ㆍ부품전문기업 등의 육성에 관한 특별조치법 시행령,20190709,20190709,대통령령
해양경찰청,수상레저안전법 시행령,20190709,20190709,대통령령
보건복지부,식품등 기부 활성화에 관한 법률 시행령,20190709,20190709,대통령령
과학기술정보통신부,연구개발특구의 육성에 관한 특별법 시행령,20190709,20190709,대통령령
문화체육관광부,이스포츠(전자스포츠) 진흥에 관한 법률 시행령,20190709,20190709,대통령령
교육부,인성교육진흥법 시행령,20190709,20190709,대통령령
산림청,임업 및 산촌 진흥촉진에 관한 법률 시행령,20190709,20190709,대통령령
문화체육관광부,점자법 시행령,20190709,20190709,대통령령
환경부,토양환경보전법 시행령,20190709,20190709,대통령령
환경부,폐기물관리법 시행령,20190709,20190709,대통령령
공정거래위원회,하도급거래 공정화에 관한 법률 시행령,20190709,20190709,대통령령
환경부,환경보건법 시행령,20190709,20190709,대통령령
특허청,특허료 등의 징수규칙,20190709,20190709,산업통상자원부령
중소벤처기업부,벤처기업육성에 관한 특별조치법 시행규칙,20190709,20190709,중소벤처기업부령
산림청,산림보호법 시행규칙,20190709,20190709,농림축산식품부령
산림청,산림자원의 조성 및 관리에 관한 법률 시행규칙,20190709,20190709,농림축산식품부령
해양수산부,해양환경관리법 시행규칙,20190709,20190709,해양수산부령
기획재정부,중국ㆍ일본 및 싱가포르산 초산에틸에 대한 덤핑방지관세 부과에 관한 규칙,20190709,20190709,기획재정부령
산림청,임업 및 산촌 진흥촉진에 관한 법률 시행규칙,20190709,20190709,농림축산식품부령
기획재정부,인도산 초산에틸에 대한 덤핑방지관세 부과에 관한 규칙,20190709,20190709,기획재정부령
null,근로기준법 시행령,20190709,20190716,대통령령
식품의약품안전처,건강기능식품에 관한 법률 시행령,20190709,20190716,대통령령
식품의약품안전처,어린이 식생활안전관리 특별법 시행령,20190709,20190716,대통령령
국방부,군사기지 및 군사시설 보호법 시행규칙,20190708,20190708,국방부령
행정안전부,민방위기본법 시행규칙,20190708,20190708,행정안전부령
환경부,폐기물관리법 시행규칙,20190708,20190708,환경부령
농림축산식품부,농림축산식품부 소관 식품산업진흥법 시행규칙,20190708,20190708,농림축산식품부령
농촌진흥청,지역특화작목 연구개발 및 육성에 관한 법률 시행규칙,20190708,20190709,농림축산식품부령
해양수산부,어업의 허가 및 신고 등에 관한 규칙,20190708,20190709,해양수산부령
해양수산부,수산업ㆍ어촌 발전 기본법 시행규칙,20190708,20190709,해양수산부령
해양수산부,어업면허의 관리 등에 관한 규칙,20190708,20190709,해양수산부령
해양수산부,항만법 시행규칙,20190708,20190716,해양수산부령
보건복지부,노인복지법 시행규칙,20190705,20190705,보건복지부령
국토교통부,교통약자의 이동편의 증진법 시행규칙,20190705,20190705,국토교통부령
보건복지부,신의료기술평가에 관한 규칙,20190704,20190704,보건복지부령
보건복지부,국민건강보험 요양급여의 기준에 관한 규칙,20190704,20190704,보건복지부령
국토교통부,도로법 시행규칙,20190704,20190704,국토교통부령
법원행정처,법원행정처 행정심판규칙,20190704,20190704,대법원규칙
법원행정처,법관의 승급기준에 관한 규칙,20190704,20190704,대법원규칙
기획재정부,증권거래세법 시행규칙,20190703,20190703,기획재정부령
국토교통부,도시ㆍ군계획시설의 결정ㆍ구조 및 설치기준에 관한 규칙,20190703,20190703,국토교통부령
교육부,학교보건법 시행규칙,20190703,20190703,교육부령
과학기술정보통신부,방송통신발전 기본법 시행령,20190702,20190702,대통령령
법무부,재외동포의 출입국과 법적 지위에 관한 법률 시행령,20190702,20190702,대통령령
국방부,군무원인사법 시행령,20190702,20190702,대통령령
행정안전부,주한미군 공여구역주변지역 등 지원 특별법 시행령,20190702,20190702,대통령령
외교부,외교부와 그 소속기관 직제,20190702,20190702,대통령령
문화체육관광부,평창 동계올림픽 및 동계패럴림픽 기장령,20190702,20190702,대통령령
국토교통부,주택법 시행령,20190702,20190702,대통령령
문화체육관광부,10ㆍ27법난 피해자의 명예회복 등에 관한 법률 시행령,20190702,20190702,대통령령
문화체육관광부,2018 평창 동계올림픽대회 및 동계패럴림픽대회 지원 등에 관한 특별법 시행령,20190702,20190702,대통령령
환경부,가습기살균제 피해구제를 위한 특별법 시행령,20190702,20190702,대통령령
농림축산식품부,가축 및 축산물 이력관리에 관한 법률 시행령,20190702,20190702,대통령령
환경부,가축분뇨의 관리 및 이용에 관한 법률 시행령,20190702,20190702,대통령령
농림축산식품부,가축전염병 예방법 시행령,20190702,20190702,대통령령
농림축산식품부,간척지의 농어업적 이용 및 관리에 관한 법률 시행령,20190702,20190702,대통령령
행정안전부,거창사건등 관련자의 명예회복에 관한 특별조치법 시행령,20190702,20190702,대통령령
여성가족부,건전가정의례준칙,20190702,20190702,대통령령
여성가족부,경력단절여성등의 경제활동 촉진법 시행령,20190702,20190702,대통령령
문화체육관광부,경륜ㆍ경정법 시행령,20190702,20190702,대통령령
국방부,계엄법 시행령,20190702,20190702,대통령령
문화재청,고도 보존 및 육성에 관한 특별법 시행령,20190702,20190702,대통령령
null,고용보험 및 산업재해보상보험의 보험료징수 등에 관한 법률 시행령,20190702,20190702,대통령령
null,고용보험법 시행령,20190702,20190702,대통령령
null,고용정책 기본법 시행령,20190702,20190702,대통령령
농림축산식품부,곤충산업의 육성 및 지원에 관한 법률 시행령,20190702,20190702,대통령령
국방부,공군항공과학고등학교 설치법 시행령,20190702,20190702,대통령령
문화체육관광부,공연법 시행령,20190702,20190702,대통령령
보건복지부,공중위생관리법 시행령,20190702,20190702,대통령령
병무청,공직자 등의 병역사항 신고 및 공개에 관한 법률 시행령,20190702,20190702,대통령령
교육부,교원 지위 향상을 위한 교섭ㆍ협의에 관한 규정,20190702,20190702,대통령령
교육부,교육공무원 징계령,20190702,20190702,대통령령
교육부,교육과정심의회 규정,20190702,20190702,대통령령
보건복지부,구강보건법 시행령,20190702,20190702,대통령령
교육부,국가교육회의 설치 및 운영에 관한 규정,20190702,20190702,대통령령
null,국가기술자격법 시행령,20190702,20190702,대통령령
국방부,국군포로의 송환 및 대우 등에 관한 법률 시행령,20190702,20190702,대통령령
환경부,국립낙동강생물자원관의 설립 및 운영에 관한 법률 시행령,20190702,20190702,대통령령
교육부,국립대학병원 설치법 시행령,20190702,20190702,대통령령
환경부,국립생태원의 설립 및 운영에 관한 법률 시행령,20190702,20190702,대통령령
보건복지부,국립중앙의료원의 설립 및 운영에 관한 법률 시행령,20190702,20190702,대통령령
교육부,국립학교 설치령,20190702,20190702,대통령령
보건복지부,국민건강보험법 시행령,20190702,20190702,대통령령
보건복지부,국민건강증진법 시행령,20190702,20190702,대통령령
보건복지부,국민연금법 시행령,20190702,20190702,대통령령
문화체육관광부,국민체육진흥법 시행령,20190702,20190702,대통령령
국방부,국방대학교 설치법 시행령,20190702,20190702,대통령령
산림청,국유림의 경영 및 관리에 관한 법률 시행령,20190702,20190702,대통령령
국방부,군검찰사무 운영규정,20190702,20190702,대통령령
통일부,군사정전에 관한 협정 체결 이후 납북피해자의 보상 및 지원에 관한 법률 시행령,20190702,20190702,대통령령
국방부,군수품관리법 시행령,20190702,20190702,대통령령
국방부,군예식령,20190702,20190702,대통령령
국방부,군인 명예전역수당지급 규정,20190702,20190702,대통령령
국방부,군인사법 시행령,20190702,20190702,대통령령
국방부,군인연금법 시행령,20190702,20190702,대통령령
해양수산부,귀농어ㆍ귀촌 활성화 및 지원에 관한 법률 시행령,20190702,20190702,대통령령
null,근로복지기본법 시행령,20190702,20190702,대통령령
null,근로자퇴직급여 보장법 시행령,20190702,20190702,대통령령
환경부,금강수계 물관리 및 주민지원 등에 관한 법률 시행령,20190702,20190702,대통령령
